id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_attribution_name,image_attribution_url,image_creative_commons,chef,source_url,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
1,Chia And Blackberry Pudding,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",45,,0.0,,Easy,2.0,0.25,0.5,1.0,1.0,1.0,,,,,,cup chia seeds,"cup blackberries, fresh",teaspoon liquid sweetener,"cup coconut milk, full fat and unsweetened",teaspoon vanilla extract,,,,,,"Take the vanilla ,liquid sweetener and coconut milk and add to blender",Process until thick,Add in blackberries and process until smooth,Divide the mixture between cups and chill for 30 minutes,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Chia_And_Blackberry_Pudding-Chia_And_Blackberry_Pudding.jpg,,,True,,,437,38.0,8.0,8.0
4,Angel Eggs,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",30,,0.0,,Easy,2.0,4.0,1.0,2.0,0.125,,,,,,,"eggs, hardboiled and peeled","tablespoon vanilla bean sweetener, sugar free",tablespoons Keto-Friendly mayonnaise,teaspoon cinnamon,,,,,,,Halve the boiled eggs and scoop out the yolk,Place in a bowl,Add egg whites on a plate,"Add sweetener, cinnamon, mayo to the egg yolks and mash them well",Transfer yolk mix to white halves,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Angel_Eggs-Angel_Eggs.jpg,,,True,,,184,15.0,1.0,12.0
5,Roasted Onions And Green Beans,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,15.0,,Easy,6.0,1.0,0.5,2.0,1.75,0.5,,,,,,"yellow onion, sliced into rings",teaspoon onion powder,tablespoons coconut flour,"pounds fresh green beans, trimmed and chopped",tablespoon salt,,,,,,Take a large bowl and mix salt with onion powder and coconut flour,Add onion rings,Mix well to coat,"Spread the rings in the baking sheet, lined with parchment paper",Drizzled with some oil,Bake for 10 minutes at 400 Fahrenheit,Parboil the green beans for 3 to 5 minutes in the boiling water,Drain it and serve the beans with baked onion rings,Serve warm and enjoy!,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Roasted_Onions_And_Green_Beans-Roasted_Onions_And_Green_Beans.jpg,,,True,,,214,19.4,3.7,8.3
7,Hungarian Keto Porridge,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,10.0,,Easy,2.0,1.0,1.0,0.75,0.5,1.0,1.0,,,,,tablespoon chia seeds,tablespoon ground flaxseed,cup coconut cream,cup water,teaspoon vanilla extract,tablespoon butter,,,,,"Add chia seeds, coconut cream, flaxseed, water and vanilla to a small pot",Stir and let it sit for 5 minutes,Add butter and place pot over low heat,Keep stirring as butter melts,"Once porridge is hot/not boiling, pour into bowl",Enjoy!,Add a few berries or a dash of cream for extra flavor,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Hungarian_Keto_Porridge-Hungarian_Keto_Porridge.jpg,,,True,,,410,38.0,10.0,6.0
9,Vanilla Hemp Drink,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,0.0,,Easy,1.0,1.0,1.0,1.5,0.5,4.0,1.0,1.0,,,,cup water,"cup unsweetened hemp milk, vanilla","tablespoons coconut oil, unrefined","cup frozen blueberries, mixed","cup leafy greens, kale and spinach",tablespoons flaxseeds,tablespoons almond butter,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,Serve chilled and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Vanilla_Hemp_Drink-Vanilla_Hemp_Drink.jpg,,,True,,,250,20.0,10.0,7.0
10,Pepperoni Omelet,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",5,,20.0,,Easy,4.0,6.0,15.0,2.0,,2.0,,,,,,eggs,pepperoni slices,teaspoons coconut cream,"Salt and freshly ground black pepper , to taste",tablespoons butter,,,,,,Take a bowl and whisk eggs with all the remaining ingredients in it,Then take a skillet and heat butter,Pour the ¼ of egg mixture into your skillet,"After that, cook for 2 minutes per side",Repeat to use the entire batter,Serve warm and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Pepperoni_Omelet-Pepperoni_Omelet.jpg,,,True,,,141,11.5,0.6,8.9
11,The Mocha Shake,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,0.0,,Easy,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,cup whole milk,tablespoons cocoa powder,pack stevia,"cup brewed coffee, chilled",tablespoon coconut oil,,,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,"Serve chilled with some biscuits and muffins if you prefer, add Keto-Friendly whipped cream on top if desired",Enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/The_Mocha_Shake-The_Mocha_Shake.jpg,,,True,,,293,23.0,19.0,10.0
12,Early Morning Cheesy Egg Muffin,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,20.0,,Medium,6.0,4.0,2.0,,3.0,0.25,0.5,,,,,large whole eggs,tablespoons Greek yogurt,Salt and pepper taste,tablespoons coconut flour,teaspoon baking powder,"cup cheddar cheese, shredded",,,,,Pre-heat your oven to 375-degree F,"Add yogurt, eggs to a medium sized bowl","Season with salt and pepper, whisk well","Add baking powder, coconut flour and mix until you have a smooth batter",Add cheese and fold,Pour mix evenly in 6 silicone muffin cups and bake in your oven until golden,Enjoy!,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Early_Morning_Cheesy_Egg_Muffin-Early_Morning_Cheesy_Egg_Muffin.jpg,,,True,,,101,7.0,3.0,7.0
13,An Omelet Of Swiss Chard,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",5,,5.0,,Medium,4.0,4.0,4.0,2.0,0.5,,,,,,,"eggs, lightly beaten","cups Swiss chard, sliced",tablespoons butter,teaspoon garlic salt,Fresh pepper,,,,,,Take a non-stick frying pan and place it over medium-low heat,"Once the butter melts, add Swiss chard and stir cook for 2 minutes",Pour egg into pan and gently stir them into Swiss chard,Season with garlic salt and pepper,Cook for 2 minutes,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/An_Omelet_Of_Swiss_Chard-An_Omelet_Of_Swiss_Chard.jpg,,,True,,,260,21.0,4.0,14.0
14,Chocolate Fat Bombs,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,+ chill time,5.0,,Medium,12.0,0.75,1.0,0.33,0.25,0.5,,,,,,cup coconut oil,cup almond butter,cup cocoa powder,"cup almond, ground",teaspoon salt,Stevia if needed,,,,,"Add listed ingredients to pot and place over low heat, stir until everything melts","Once the mixture is combined and forms a thick batter, let it cool",Roll mixture into balls and place on a paper lined baking tray,Place tray into fridge and let them cool for 1 hour,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Chocolate_Fat_Bombs-Chocolate_Fat_Bombs.jpg,,,True,,,555,55.0,11.0,11.0
